Data,Sistema,Par_Moeda,Hora_Entrada,Hora_Expiracao,Resultado
02/07,TARS,EURGBP,09:00:00,09:05:00,WIN
02/07,TARS,EURUSD,09:25:00,09:30:00,LOSS
02/07,TARS,EURUSD,09:55:00,10:00:00,WIN
02/07,TARS,EURGBP,10:10:00,10:15:00,WIN
02/07,TARS,EURCAD,10:25:00,10:30:00,WIN
02/07,TARS,AUDUSD,10:50:00,10:55:00,WIN
02/07,TARS,EURCAD,11:05:00,11:10:00,LOSS
02/07,TARS,EURCAD,11:30:00,11:35:00,LOSS
02/07,TARS,AUDUSD,11:45:00,11:50:00,WIN
02/07,TARS,EURGBP,11:55:00,12:00:00,WIN
02/07,TARS,EURCAD,12:10:00,12:15:00,WIN
02/07,TARS,EURGBP,12:35:00,12:40:00,WIN
02/07,TARS,AUDUSD,12:55:00,13:00:00,WIN
02/07,TARS,EURUSD,13:10:00,13:15:00,LOSS
02/07,TARS,EURGBP,13:25:00,13:30:00,WIN
02/07,TARS,AUDCAD,13:40:00,13:45:00,WIN
02/07,TARS,EURUSD,14:10:00,14:15:00,WIN
02/07,TARS,EURUSD,14:35:00,14:40:00,LOSS
02/07,TARS,EURGBP,14:50:00,14:55:00,LOSS
03/07,TARS,EURGBP,08:45:00,08:50:00,LOSS
03/07,TARS,AUDCAD,10:05:00,10:10:00,LOSS
03/07,TARS,EURGBP,10:25:00,10:30:00,WIN
03/07,TARS,AUDUSD,11:10:00,11:15:00,LOSS
03/07,TARS,EURUSD,11:20:00,11:25:00,WIN
03/07,TARS,AUDUSD,11:55:00,12:00:00,LOSS
03/07,TARS,AUDUSD,12:25:00,12:30:00,WIN
03/07,TARS,EURUSD,12:55:00,13:00:00,WIN
03/07,TARS,AUDCAD,14:40:00,14:45:00,LOSS
03/07,TARS,EURUSD,15:05:00,15:10:00,LOSS
03/07,TARS,EURUSD,15:25:00,15:30:00,LOSS
03/07,TARS,EURGBP,16:05:00,16:10:00,WIN
03/07,TARS,AUDCAD,16:30:00,16:35:00,WIN
07/07,TARS,AUDCAD,08:30:00,08:35:00,WIN
07/07,TARS,AUDCAD,08:55:00,09:00:00,WIN
07/07,TARS,EURUSD,09:25:00,09:30:00,WIN
07/07,TARS,AUDUSD,09:50:00,09:55:00,LOSS
07/07,TARS,AUDCAD,10:40:00,10:45:00,WIN
07/07,TARS,EURGBP,10:55:00,11:00:00,LOSS
07/07,TARS,EURCAD,11:10:00,11:15:00,WIN
07/07,TARS,AUDUSD,12:30:00,12:35:00,LOSS
07/07,TARS,AUDCAD,13:10:00,13:15:00,WIN
07/07,TARS,EURUSD,13:25:00,13:30:00,LOSS
08/07,TARS,AUDUSD,08:10:00,08:15:00,WIN
08/07,TARS,AUDCAD,08:50:00,08:55:00,LOSS
08/07,TARS,AUDCAD,09:40:00,09:45:00,LOSS
08/07,TARS,AUDUSD,09:55:00,10:00:00,LOSS
08/07,TARS,EURGBP,10:15:00,10:20:00,WIN
08/07,TARS,EURCAD,11:05:00,11:10:00,WIN
08/07,TARS,EURGBP,11:35:00,11:40:00,WIN
08/07,TARS,USDCAD,13:35:00,13:40:00,WIN
08/07,TARS,USDJPY,13:55:00,14:00:00,LOSS
09/07,TARS,GBPCAD,08:30:00,08:35:00,LOSS
09/07,TARS,AUDCAD,08:45:00,08:50:00,LOSS
10/07,TARS,EURCHF,08:45:00,08:50:00,LOSS
10/07,TARS,CADJPY,09:00:00,09:05:00,LOSS
10/07,TARS,GBPAUD,09:15:00,09:20:00,WIN
10/07,TARS,EURAUD,09:30:00,09:35:00,LOSS
10/07,TARS,AUDCHF,09:45:00,09:50:00,LOSS
10/07,TARS,CHFJPY,10:10:00,10:15:00,LOSS
10/07,TARS,CHFJPY,10:25:00,10:30:00,WIN
10/07,TARS,AUDCAD,11:10:00,11:15:00,LOSS
10/07,TARS,AUDUSD,11:25:00,11:30:00,WIN
10/07,TARS,AUDCAD,11:40:00,11:45:00,WIN
10/07,TARS,USDCAD,11:55:00,12:00:00,LOSS
10/07,TARS,EURUSD,12:25:00,12:30:00,WIN
10/07,TARS,CHFJPY,12:50:00,12:55:00,LOSS
10/07,TARS,EURCHF,13:05:00,13:10:00,LOSS
10/07,TARS,EURCHF,13:25:00,13:30:00,LOSS
10/07,TARS,EURUSD,13:45:00,13:50:00,WIN
10/07,TARS,USDCAD,14:05:00,14:10:00,WIN
10/07,TARS,GBPCHF,14:20:00,14:25:00,WIN
11/07,TARS,EURCAD,08:10:00,08:15:00,LOSS
11/07,TARS,EURJPY,08:25:00,08:30:00,WIN
11/07,TARS,AUDUSD,08:40:00,08:45:00,WIN
11/07,TARS,CHFJPY,08:55:00,09:00:00,WIN
11/07,TARS,EURCHF,09:10:00,09:15:00,LOSS
11/07,TARS,USDCAD,09:30:00,09:35:00,WIN
11/07,TARS,USDJPY,09:50:00,09:55:00,WIN
11/07,TARS,USDCHF,10:25:00,10:30:00,WIN
11/07,TARS,AUDUSD,10:55:00,11:00:00,WIN
11/07,TARS,AUDUSD,11:30:00,11:35:00,WIN
11/07,TARS,EURUSD,11:55:00,12:00:00,WIN
11/07,TARS,USDCHF,12:10:00,12:15:00,WIN
11/07,TARS,USDCHF,12:30:00,12:35:00,LOSS
11/07,TARS,AUDUSD,12:55:00,13:00:00,WIN
11/07,TARS,USDJPY,13:15:00,13:20:00,WIN
14/07,TARS,AUDUSD,08:25:00,08:30:00,WIN
14/07,TARS,AUDUSD,08:40:00,08:45:00,WIN
14/07,TARS,GBPUSD,09:15:00,09:20:00,WIN
14/07,TARS,USDJPY,09:30:00,09:35:00,LOSS
14/07,TARS,USDCHF,10:00:00,10:05:00,WIN
14/07,TARS,GBPCHF,10:35:00,10:40:00,WIN
14/07,TARS,GBPAUD,11:00:00,11:05:00,LOSS
14/07,TARS,EURAUD,11:15:00,11:20:00,WIN
14/07,TARS,GBPUSD,11:30:00,11:35:00,WIN
14/07,TARS,EURUSD,12:30:00,12:35:00,WIN
14/07,TARS,AUDUSD,12:55:00,13:00:00,WIN
14/07,TARS,EURCHF,13:10:00,13:15:00,LOSS
15/07,CASEARS,GBPAUD,08:25:00,08:30:00,LOSS
15/07,CASEARS,EURJPY,09:20:00,09:25:00,LOSS
15/07,CASEARS,EURCHF,09:35:00,09:40:00,LOSS
15/07,CASEARS,AUDCAD,10:00:00,10:05:00,LOSS
15/07,CASEARS,AUDCAD,10:35:00,10:40:00,WIN
15/07,CASEARS,EURGBP,11:10:00,11:15:00,WIN
15/07,CASEARS,EURCHF,12:00:00,12:05:00,LOSS
15/07,CASEARS,EURCHF,12:35:00,12:40:00,WIN
15/07,CASEARS,GBPCHF,13:10:00,13:15:00,WIN
15/07,CASEARS,EURCHF,13:30:00,13:35:00,WIN
16/07,CASEARS,AUDCHF,08:20:00,08:25:00,LOSS
16/07,CASEARS,AUDCAD,08:35:00,08:40:00,LOSS
16/07,CASEARS,AUDCAD,09:15:00,09:20:00,LOSS
16/07,CASEARS,AUDCAD,09:35:00,09:40:00,LOSS
16/07,CASEARS,GBPAUD,09:55:00,10:00:00,LOSS
16/07,CASEARS,AUDCAD,10:25:00,10:30:00,LOSS
16/07,CASEARS,GBPAUD,10:45:00,10:50:00,WIN
16/07,CASEARS,GBPCAD,11:05:00,11:10:00,LOSS
16/07,CASEARS,GBPCHF,11:50:00,11:55:00,WIN
16/07,CASEARS,CHFJPY,12:45:00,12:50:00,WIN
16/07,CASEARS,GBPAUD,13:00:00,13:05:00,WIN
16/07,CASEARS,GBPCAD,14:05:00,14:10:00,WIN
16/07,CASEARS,GBPAUD,14:20:00,14:25:00,LOSS
16/07,CASEARS,EURGBP,14:35:00,14:40:00,WIN
16/07,CASEARS,EURAUD,14:55:00,15:00:00,WIN
17/07,CASE,GBPUSD,08:05:00,08:10:00,LOSS
17/07,CASE,USDCHF,08:25:00,08:30:00,WIN
17/07,CASE,GBPCHF,08:40:00,08:45:00,WIN
17/07,CASE,EURCHF,09:05:00,09:10:00,WIN
17/07,CASE,AUDCAD,09:20:00,09:25:00,EMPATE
17/07,CASE,AUDUSD,09:35:00,09:40:00,LOSS
17/07,CASE,EURCAD,09:50:00,09:55:00,LOSS
17/07,CASE,GBPCAD,10:10:00,10:15:00,LOSS
17/07,CASE,GBPUSD,10:25:00,10:30:00,LOSS
17/07,CASE,EURCAD,10:40:00,10:45:00,LOSS
17/07,CASE,GBPAUD,10:55:00,11:00:00,LOSS
17/07,CASE,USDCHF,11:35:00,11:40:00,LOSS
17/07,CASE,EURCHF,11:50:00,11:55:00,WIN
18/07,TARS,EURCAD,12:55:00,13:00:00,WIN
21/07,TARS,EURCAD,08:05:00,08:10:00,WIN
21/07,TARS,AUDCAD,08:25:00,08:30:00,WIN
21/07,TARS,GBPCAD,08:50:00,08:55:00,WIN
21/07,TARS,GBPAUD,09:05:00,09:10:00,LOSS
21/07,TARS,EURAUD,10:05:00,10:10:00,WIN
21/07,CASE,EURAUD,10:25:00,10:30:00,WIN
21/07,CASE,GBPUSD,10:40:00,10:45:00,WIN
21/07,CASE,EURCHF,10:55:00,11:00:00,LOSS
21/07,CASE,GBPCAD,11:10:00,11:15:00,WIN
21/07,CASE,AUDUSD,11:25:00,11:30:00,LOSS
21/07,CASE,AUDUSD,11:45:00,11:50:00,WIN
21/07,CASE,EURAUD,12:00:00,12:05:00,WIN
21/07,CASE,GBPCAD,12:15:00,12:20:00,LOSS
21/07,CASE,USDCHF,12:30:00,12:35:00,LOSS
21/07,CASE,EURGBP,12:50:00,12:55:00,LOSS
21/07,CASE,EURCAD,13:05:00,13:10:00,WIN
21/07,CASE,USDCAD,13:20:00,13:25:00,WIN
21/07,CASE,USDCAD,13:35:00,13:40:00,WIN
21/07,CASE,AUDUSD,13:50:00,13:55:00,LOSS
21/07,CASE,USDCAD,14:05:00,14:10:00,LOSS
22/07,CASEARS,AUDCAD,09:00:00,09:05:00,LOSS
22/07,CASEARS,GBPUSD,11:55:00,12:00:00,LOSS
22/07,CASEARS,EURGBP,12:35:00,12:40:00,WIN
23/07,CASEARS,GBPUSD,08:05:00,08:10:00,WIN
23/07,CASEARS,GBPCHF,08:20:00,08:25:00,LOSS
23/07,CASEARS,GBPCHF,08:40:00,08:45:00,LOSS
23/07,CASEARS,GBPCHF,08:55:00,09:00:00,WIN
23/07,CASEARS,EURAUD,09:10:00,09:15:00,WIN
23/07,CASEARS,EURGBP,09:25:00,09:30:00,LOSS
23/07,CASEARS,AUDUSD,09:40:00,09:45:00,WIN
23/07,CASEARS,AUDUSD,09:55:00,10:00:00,WIN
23/07,CASEARS,EURJPY,10:10:00,10:15:00,LOSS
23/07,CASEARS,GBPJPY,10:25:00,10:30:00,LOSS
23/07,CASEARS,AUDUSD,10:40:00,10:45:00,LOSS
23/07,CASEARS,AUDUSD,10:55:00,11:00:00,WIN
23/07,CASEARS,EURAUD,11:10:00,11:15:00,LOSS
23/07,CASEARS,EURAUD,11:25:00,11:30:00,LOSS
23/07,CASEARS,AUDCAD,11:40:00,11:45:00,LOSS
23/07,CASEARS,AUDCAD,11:55:00,12:00:00,WIN
23/07,CASEARS,EURAUD,12:10:00,12:15:00,LOSS
23/07,CASEARS,GBPAUD,12:25:00,12:30:00,WIN
23/07,CASEARS,AUDUSD,12:40:00,12:45:00,LOSS
23/07,CASEARS,AUDUSD,12:55:00,13:00:00,WIN
23/07,CASEARS,AUDUSD,13:10:00,13:15:00,WIN
23/07,CASEARS,USDCAD,13:25:00,13:30:00,WIN
23/07,CASEARS,GBPAUD,13:45:00,13:50:00,WIN
23/07,CASEARS,GBPAUD,14:00:00,14:05:00,LOSS
23/07,CASEARS,EURCAD,14:15:00,14:20:00,LOSS
23/07,CASEARS,AUDCAD,14:30:00,14:35:00,WIN
23/07,CASEARS,USDCAD,14:45:00,14:50:00,LOSS
23/07,CASEARS,AUDCAD,15:00:00,15:05:00,WIN
24/07,TARS,EURCAD,08:10:00,08:15:00,WIN
24/07,TARS,EURUSD,08:25:00,08:30:00,WIN
24/07,TARS,AUDCAD,08:40:00,08:45:00,WIN
24/07,TARS,EURUSD,08:55:00,09:00:00,LOSS
24/07,TARS,EURUSD,09:10:00,09:15:00,WIN
24/07,TARS,GBPUSD,09:25:00,09:30:00,WIN
24/07,TARS,EURUSD,09:40:00,09:45:00,LOSS
24/07,TARS,AUDUSD,09:55:00,10:00:00,WIN
24/07,TARS,EURGBP,10:10:00,10:15:00,LOSS
24/07,TARS,USDCAD,10:25:00,10:30:00,LOSS
24/07,TARS,GBPCAD,10:40:00,10:45:00,WIN
24/07,TARS,GBPUSD,10:55:00,11:00:00,LOSS
24/07,TARS,AUDUSD,11:10:00,11:15:00,LOSS
24/07,TARS,AUDUSD,11:25:00,11:30:00,WIN
24/07,TARS,AUDCAD,11:45:00,11:50:00,LOSS
24/07,TARS,AUDCAD,11:55:00,12:00:00,WIN
24/07,TARS,AUDUSD,12:10:00,12:15:00,LOSS
24/07,TARS,USDCAD,12:35:00,12:40:00,LOSS
24/07,TARS,EURCAD,12:50:00,12:55:00,LOSS
24/07,TARS,GBPUSD,13:05:00,13:10:00,WIN
24/07,TARS,GBPUSD,13:20:00,13:25:00,LOSS
24/07,TARS,EURUSD,13:35:00,13:40:00,WIN
24/07,TARS,EURAUD,13:50:00,13:55:00,WIN
25/07,CASEARS,EURAUD,08:05:00,08:10:00,LOSS
25/07,CASEARS,GBPJPY,08:20:00,08:25:00,WIN
25/07,CASEARS,USDCAD,08:35:00,08:40:00,WIN
25/07,CASEARS,AUDUSD,08:50:00,08:55:00,LOSS
25/07,CASEARS,AUDUSD,09:05:00,09:10:00,WIN
25/07,CASEARS,AUDCAD,09:20:00,09:25:00,LOSS
25/07,CASEARS,USDCAD,09:35:00,09:40:00,LOSS
25/07,CASEARS,AUDUSD,09:50:00,09:55:00,WIN
25/07,CASEARS,AUDUSD,10:05:00,10:10:00,WIN
25/07,CASEARS,EURCAD,10:20:00,10:25:00,WIN
25/07,CASEARS,AUDUSD,10:35:00,10:40:00,WIN
25/07,CASEARS,EURGBP,10:55:00,11:00:00,LOSS
25/07,CASEARS,AUDUSD,11:10:00,11:15:00,WIN
25/07,CASEARS,EURUSD,11:25:00,11:30:00,WIN
25/07,CASEARS,USDCAD,11:40:00,11:45:00,LOSS
25/07,CASEARS,EURCAD,11:55:00,12:00:00,LOSS
25/07,CASEARS,GBPUSD,12:10:00,12:15:00,WIN
25/07,CASEARS,EURUSD,12:25:00,12:30:00,LOSS
25/07,CASEARS,GBPCAD,12:40:00,12:45:00,WIN
25/07,CASEARS,EURCAD,12:55:00,13:00:00,LOSS
25/07,CASEARS,GBPUSD,13:10:00,13:15:00,WIN
25/07,CASEARS,EURUSD,13:20:00,13:25:00,LOSS
25/07,CASEARS,GBPAUD,13:35:00,13:40:00,LOSS
25/07,CASEARS,AUDUSD,13:50:00,13:55:00,WIN
28/07,CASEARS,AUDJPY,10:00:00,10:05:00,LOSS
28/07,CASEARS,GBPUSD,10:15:00,10:20:00,WIN
28/07,CASEARS,GBPUSD,11:00:00,11:05:00,WIN
28/07,CASEARS,USDCAD,12:05:00,12:10:00,LOSS
28/07,CASEARS,AUDCAD,12:20:00,12:25:00,WIN
28/07,CASEARS,AUDUSD,12:55:00,13:00:00,LOSS
28/07,CASEARS,AUDUSD,13:20:00,13:25:00,WIN
28/07,CASEARS,EURUSD,13:45:00,13:50:00,LOSS
29/07,CASEARS,AUDCHF,08:30:00,08:35:00,WIN
29/07,CASEARS,GBPUSD,08:50:00,08:55:00,LOSS
29/07,CASEARS,EURCAD,09:05:00,09:10:00,LOSS
29/07,CASEARS,AUDJPY,10:45:00,10:50:00,WIN
29/07,CASEARS,EURCAD,12:40:00,12:45:00,WIN
29/07,CASEARS,GBPJPY,13:00:00,13:05:00,LOSS
29/07,CASEARS,GBPCHF,13:20:00,13:25:00,WIN
30/07,CASEARS,EURGBP,08:05:00,08:10:00,WIN
30/07,CASEARS,EURGBP,08:35:00,08:40:00,WIN
30/07,CASEARS,USDCAD,09:05:00,09:10:00,WIN
30/07,CASEARS,AUDJPY,09:20:00,09:25:00,LOSS
30/07,CASEARS,AUDCHF,09:55:00,10:00:00,WIN
30/07,CASEARS,EURCHF,10:15:00,10:20:00,WIN
30/07,CASEARS,AUDCHF,13:50:00,13:55:00,LOSS
